User_ID,Signup_Date,KYC_Completed,KYC_Date,Account_Linked,Link_Date,Transaction_Completed,Transaction_Date,Support_Date,Issue_Type
U0875,2023-04-29,1,2023-05-01,1,2023-05-02,0,,2023-05-12,KYC Delay
U0853,2023-06-29,1,2023-07-02,1,2023-07-03,1,2023-07-04,2023-07-26,App Bug
U0641,2023-05-14,1,2023-05-16,1,2023-05-19,1,2023-05-20,2023-06-03,KYC Delay
U0796,2023-02-12,0,,0,,0,,2023-02-28,App Bug
U0215,2023-05-24,1,2023-05-29,0,,0,,2023-06-03,Link Failure
U0003,2023-04-03,0,,0,,0,,2023-04-11,App Bug
U0358,2023-06-25,0,,0,,0,,2023-06-28,Trust Issue
U0980,2023-03-04,1,2023-03-06,1,2023-03-09,0,,2023-03-14,App Bug
U0103,2023-05-03,1,2023-05-05,1,2023-05-08,0,,2023-05-14,KYC Delay
U0193,2023-04-23,1,2023-04-24,1,2023-04-27,1,2023-05-02,2023-04-26,KYC Delay
U0633,2023-05-11,0,,0,,0,,2023-05-31,App Bug
U0230,2023-06-17,1,2023-06-18,1,2023-06-22,1,2023-06-24,2023-06-29,Trust Issue
U0306,2023-01-27,1,2023-01-29,1,2023-02-04,1,2023-02-11,2023-02-10,Link Failure
U0208,2023-05-25,1,2023-05-29,1,2023-05-31,1,2023-06-05,2023-06-05,Trust Issue
U0655,2023-05-26,1,2023-05-31,1,2023-06-06,1,2023-06-07,2023-06-10,Link Failure
U0018,2023-02-22,1,2023-02-25,1,2023-03-02,1,2023-03-05,2023-03-13,KYC Delay
U0754,2023-02-23,1,2023-02-24,1,2023-02-25,0,,2023-03-15,Trust Issue
U0171,2023-05-17,1,2023-05-22,0,,0,,2023-06-09,Link Failure
U0346,2023-02-01,1,2023-02-06,1,2023-02-13,0,,2023-02-11,App Bug
U0636,2023-06-02,1,2023-06-05,0,,0,,2023-06-28,KYC Delay
U0492,2023-06-28,1,2023-07-01,0,,0,,2023-07-06,App Bug
U0479,2023-01-24,1,2023-01-28,1,2023-02-01,0,,2023-02-22,KYC Delay
U0450,2023-03-17,1,2023-03-20,0,,0,,2023-03-21,Trust Issue
U0884,2023-01-13,1,2023-01-17,0,,0,,2023-02-03,Trust Issue
U0317,2023-02-18,1,2023-02-23,1,2023-02-28,1,2023-03-03,2023-02-25,KYC Delay
U0412,2023-06-17,1,2023-06-21,1,2023-06-26,1,2023-07-06,2023-07-15,KYC Delay
U0290,2023-05-08,0,,0,,0,,2023-05-30,KYC Delay
U0958,2023-03-05,1,2023-03-10,1,2023-03-14,1,2023-03-16,2023-03-08,Trust Issue
U0347,2023-06-24,1,2023-06-28,1,2023-07-04,0,,2023-07-01,Link Failure
U0310,2023-01-28,1,2023-02-02,1,2023-02-08,1,2023-02-10,2023-02-01,App Bug
U0816,2023-02-20,1,2023-02-22,1,2023-02-26,1,2023-03-11,2023-03-09,App Bug
U0679,2023-05-16,1,2023-05-19,1,2023-05-24,1,2023-05-26,2023-05-25,Trust Issue
U0863,2023-01-14,1,2023-01-17,1,2023-01-23,0,,2023-01-17,App Bug
U0926,2023-02-05,1,2023-02-08,1,2023-02-11,1,2023-02-17,2023-02-23,KYC Delay
U0296,2023-06-25,0,,0,,0,,2023-07-05,Link Failure
U0334,2023-06-10,1,2023-06-11,1,2023-06-13,1,2023-06-27,2023-06-23,App Bug
U0511,2023-03-31,1,2023-04-05,1,2023-04-09,1,2023-04-21,2023-04-04,Link Failure
U0668,2023-03-15,1,2023-03-19,1,2023-03-22,1,2023-03-27,2023-03-27,KYC Delay
U0257,2023-02-17,1,2023-02-22,1,2023-02-25,1,2023-03-10,2023-02-19,App Bug
U0753,2023-01-12,1,2023-01-15,1,2023-01-17,1,2023-01-28,2023-02-05,Trust Issue
U0276,2023-05-26,1,2023-05-30,1,2023-06-02,0,,2023-06-09,Link Failure
U0724,2023-04-05,1,2023-04-09,0,,0,,2023-04-21,KYC Delay
U0514,2023-06-03,1,2023-06-07,0,,0,,2023-06-30,Link Failure
U0613,2023-03-11,1,2023-03-16,1,2023-03-20,0,,2023-03-17,App Bug
U0123,2023-01-01,1,2023-01-05,0,,0,,2023-01-23,App Bug
U0714,2023-01-27,0,,0,,0,,2023-02-14,Trust Issue
U0576,2023-02-08,1,2023-02-11,0,,0,,2023-03-06,KYC Delay
U0037,2023-03-05,1,2023-03-06,1,2023-03-13,0,,2023-03-29,KYC Delay
U0024,2023-01-21,1,2023-01-22,1,2023-01-24,1,2023-01-27,2023-02-15,Trust Issue
U0321,2023-02-15,1,2023-02-16,0,,0,,2023-03-13,Trust Issue
U0251,2023-05-20,1,2023-05-22,1,2023-05-24,1,2023-05-28,2023-05-27,KYC Delay
U0096,2023-03-04,0,,0,,0,,2023-04-02,Link Failure
U0323,2023-01-06,1,2023-01-07,1,2023-01-12,1,2023-01-26,2023-01-28,Link Failure
U0844,2023-02-17,1,2023-02-22,1,2023-03-01,1,2023-03-07,2023-03-12,Trust Issue
U0964,2023-03-18,1,2023-03-20,1,2023-03-27,0,,2023-03-30,Link Failure
U0821,2023-06-19,1,2023-06-20,1,2023-06-21,1,2023-06-26,2023-07-08,KYC Delay
U0569,2023-01-25,0,,0,,0,,2023-01-30,App Bug
U0357,2023-02-12,1,2023-02-13,1,2023-02-16,0,,2023-02-16,App Bug
U0252,2023-02-06,1,2023-02-07,1,2023-02-11,1,2023-02-13,2023-02-20,Link Failure
U0258,2023-05-11,1,2023-05-13,0,,0,,2023-06-04,Trust Issue
U0681,2023-06-27,1,2023-07-01,1,2023-07-02,1,2023-07-04,2023-07-07,Trust Issue
U0274,2023-06-02,1,2023-06-04,1,2023-06-08,1,2023-06-19,2023-06-24,Trust Issue
U0272,2023-04-22,1,2023-04-25,0,,0,,2023-04-29,Trust Issue
U0900,2023-06-18,1,2023-06-20,1,2023-06-23,1,2023-06-27,2023-07-15,Trust Issue
U0595,2023-05-17,1,2023-05-21,0,,0,,2023-06-15,Link Failure
U0620,2023-01-19,1,2023-01-21,1,2023-01-23,0,,2023-02-01,App Bug
U0842,2023-04-17,1,2023-04-18,1,2023-04-23,1,2023-05-07,2023-04-20,App Bug
U0601,2023-06-14,1,2023-06-16,1,2023-06-19,1,2023-06-28,2023-06-18,Link Failure
U0369,2023-02-26,1,2023-03-03,1,2023-03-05,0,,2023-03-02,Trust Issue
U0874,2023-01-15,1,2023-01-20,1,2023-01-23,1,2023-02-02,2023-02-13,Link Failure
U0135,2023-04-06,1,2023-04-10,1,2023-04-14,1,2023-04-27,2023-04-19,App Bug
U0264,2023-06-01,0,,0,,0,,2023-06-17,KYC Delay
U0865,2023-04-25,1,2023-04-29,1,2023-05-03,1,2023-05-13,2023-05-05,Link Failure
U0662,2023-04-27,1,2023-04-29,1,2023-05-04,1,2023-05-06,2023-05-21,Trust Issue
U0291,2023-05-16,1,2023-05-18,0,,0,,2023-05-25,App Bug
U0769,2023-02-19,1,2023-02-23,1,2023-02-27,1,2023-03-11,2023-03-03,App Bug
U0300,2023-06-07,1,2023-06-08,0,,0,,2023-06-24,App Bug
U0027,2023-01-22,1,2023-01-23,1,2023-01-26,1,2023-01-30,2023-02-18,App Bug
U0743,2023-04-02,1,2023-04-05,1,2023-04-11,1,2023-04-16,2023-04-30,Trust Issue
U0141,2023-06-20,1,2023-06-25,1,2023-06-29,1,2023-07-09,2023-07-16,KYC Delay
U0832,2023-06-26,1,2023-06-30,0,,0,,2023-07-19,App Bug
U0398,2023-04-11,1,2023-04-15,0,,0,,2023-04-16,Link Failure
U0956,2023-03-31,1,2023-04-01,1,2023-04-07,0,,2023-04-29,KYC Delay
U0225,2023-05-27,0,,0,,0,,2023-05-29,App Bug
U0006,2023-03-13,1,2023-03-17,0,,0,,2023-04-07,KYC Delay
U0298,2023-04-29,1,2023-05-01,1,2023-05-08,1,2023-05-09,2023-05-07,Link Failure
U0468,2023-03-10,1,2023-03-12,1,2023-03-14,1,2023-03-19,2023-03-13,App Bug
U0440,2023-05-06,1,2023-05-07,1,2023-05-10,1,2023-05-21,2023-05-31,Link Failure
U0237,2023-06-27,1,2023-06-28,0,,0,,2023-07-26,Trust Issue
U0388,2023-05-30,0,,0,,0,,2023-06-05,App Bug
U0936,2023-04-04,1,2023-04-06,0,,0,,2023-04-12,App Bug
U0716,2023-06-10,1,2023-06-15,1,2023-06-18,0,,2023-06-15,App Bug
U0910,2023-05-30,1,2023-06-04,1,2023-06-11,1,2023-06-25,2023-06-05,App Bug
U0409,2023-02-16,1,2023-02-18,1,2023-02-19,1,2023-02-26,2023-03-13,Trust Issue
U0718,2023-04-15,1,2023-04-19,1,2023-04-26,0,,2023-04-17,App Bug
U0987,2023-02-07,0,,0,,0,,2023-02-09,KYC Delay
U0597,2023-01-27,1,2023-02-01,1,2023-02-06,1,2023-02-09,2023-02-12,App Bug
U0952,2023-04-23,1,2023-04-25,0,,0,,2023-05-14,Trust Issue
U0157,2023-02-13,1,2023-02-15,0,,0,,2023-03-05,App Bug
U0767,2023-06-15,1,2023-06-20,1,2023-06-21,0,,2023-06-26,KYC Delay
U0894,2023-04-21,1,2023-04-23,1,2023-04-28,0,,2023-05-20,Trust Issue
U0513,2023-04-03,1,2023-04-04,0,,0,,2023-04-22,Trust Issue
U0175,2023-06-21,1,2023-06-22,1,2023-06-25,0,,2023-07-20,KYC Delay
U0328,2023-04-03,0,,0,,0,,2023-04-07,KYC Delay
